unit_code,unit_name,unit_name_combined
ANTI,Antietam National Battlefield,Antietam National Battlefield (ANTI)
APIS,Apostle Islands National Lakeshore,Apostle Islands National Lakeshore (APIS)
APPA,Appalachian National Scenic Trail,Appalachian National Scenic Trail (APPA)
APCO,Appomattox Court House National Historical Park,Appomattox Court House National Historical Park (APCO)
ARCH,Arches National Park,Arches National Park (ARCH)
ARPO,Arkansas Post National Memorial,Arkansas Post National Memorial (ARPO)
ARHO,"Arlington House, The Robert E. Lee Memorial","Arlington House, The Robert E. Lee Memorial (ARHO)"
ASIS,Assateague Island National Seashore,Assateague Island National Seashore (ASIS)
AZRU,Aztec Ruins National Monument,Aztec Ruins National Monument (AZRU)
BADL,Badlands National Park,Badlands National Park (BADL)
BAND,Bandelier National Monument,Bandelier National Monument (BAND)
BEPA,Belmont-Paul Women's Equality National Monument,Belmont-Paul Women's Equality National Monument (BEPA)
BEOL,Bent's Old Fort National Historic Site,Bent's Old Fort National Historic Site (BEOL)
BELA,Bering Land Bridge National Preserve,Bering Land Bridge National Preserve (BELA)
BIBE,Big Bend National Park,Big Bend National Park (BIBE)
BICY,Big Cypress National Preserve,Big Cypress National Preserve (BICY)
BIHO,Big Hole National Battlefield,Big Hole National Battlefield (BIHO)
BISO,Big South Fork National River and Recreation Area,Big South Fork National River and Recreation Area (BISO)
BITH,Big Thicket National Preserve,Big Thicket National Preserve (BITH)
BICA,Bighorn Canyon National Recreation Area,Bighorn Canyon National Recreation Area (BICA)
BICR,Birmingham Civil Rights National Monument,Birmingham Civil Rights National Monument (BICR)
BISC,Biscayne National Park,Biscayne National Park (BISC)
BLCA,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison National Park (BLCA)
BLRV,Blackstone River Valley National Historical Park,Blackstone River Valley National Historical Park (BLRV)
BLSC,Blackwell School National Historic Site,Blackwell School National Historic Site (BLSC)
BLRI,Blue Ridge Parkway,Blue Ridge Parkway (BLRI)
BLUE,Bluestone National Scenic River,Bluestone National Scenic River (BLUE)
BOWA,Booker T. Washington National Monument,Booker T. Washington National Monument (BOWA)
BOAF,Boston African American National Historic Site,Boston African American National Historic Site (BOAF)
BOHA,Boston Harbor Islands National Recreation Area,Boston Harbor Islands National Recreation Area (BOHA)
BOST,Boston National Historical Park,Boston National Historical Park (BOST)
BRCR,Brices Cross Roads National Battlefield Site,Brices Cross Roads National Battlefield Site (BRCR)
BRVB,Brown v. Board of Education National Historical Park,Brown v. Board of Education National Historical Park (BRVB)
BRCA,Bryce Canyon National Park,Bryce Canyon National Park (BRCA)
BUIS,Buck Island Reef National Monument,Buck Island Reef National Monument (BUIS)
BUFF,Buffalo National River,Buffalo National River (BUFF)
CABR,Cabrillo National Monument,Cabrillo National Monument (CABR)
CANE,Camp Nelson National Monument,Camp Nelson National Monument (CANE)
CANA,Canaveral National Seashore,Canaveral National Seashore (CANA)
CARI,Cane River Creole National Historical Park,Cane River Creole National Historical Park (CARI)
CACH,Canyon de Chelly National Monument,Canyon de Chelly National Monument (CACH)
CANY,Canyonlands National Park,Canyonlands National Park (CANY)
CACO,Cape Cod National Seashore,Cape Cod National Seashore (CACO)
CAHA,Cape Hatteras National Seashore,Cape Hatteras National Seashore (CAHA)
CAKR,Cape Krusenstern National Monument,Cape Krusenstern National Monument (CAKR)
CALO,Cape Lookout National Seashore,Cape Lookout National Seashore (CALO)
CARE,Capitol Reef National Park,Capitol Reef National Park (CARE)
CAJO,Captain John Smith Chesapeake National Historic Trail,Captain John Smith Chesapeake National Historic Trail (CAJO)
CAVO,Capulin Volcano National Monument,Capulin Volcano National Monument (CAVO)
CARL,Carl Sandburg Home National Historic Site,Carl Sandburg Home National Historic Site (CARL)
CAVE,Carlsbad Caverns National Park,Carlsbad Caverns National Park (CAVE)
CAWO,Carter G. Woodson Home National Historic Site,Carter G. Woodson Home National Historic Site (CAWO)
CAGR,Casa Grande Ruins National Monument,Casa Grande Ruins National Monument (CAGR)
CASA,Castillo de San Marcos National Monument,Castillo de San Marcos National Monument (CASA)
CACL,Castle Clinton National Monument,Castle Clinton National Monument (CACL)
CAMO,Castle Mountains National Monument,Castle Mountains National Monument (CAMO)
CATO,Catoctin Mountain Park,Catoctin Mountain Park (CATO)
CEBR,Cedar Breaks National Monument,Cedar Breaks National Monument (CEBR)
CEBE,Cedar Creek and Belle Grove National Historical Park,Cedar Creek and Belle Grove National Historical Park (CEBE)
CHCU,Chaco Culture National Historical Park,Chaco Culture National Historical Park (CHCU)
CHAM,Chamizal National Memorial,Chamizal National Memorial (CHAM)
CHIS,Channel Islands National Park,Channel Islands National Park (CHIS)
CHPI,Charles Pinckney National Historic Site,Charles Pinckney National Historic Site (CHPI)
CHYO,Charles Young Buffalo Soldiers National Monument,Charles Young Buffalo Soldiers National Monument (CHYO)
CHAT,Chattahoochee River National Recreation Area,Chattahoochee River National Recreation Area (CHAT)
CHOH,Chesapeake and Ohio Canal National Historical Park,Chesapeake and Ohio Canal National Historical Park (CHOH)
CHCH,Chickamauga and Chattanooga National Military Park,Chickamauga and Chattanooga National Military Park (CHCH)
CHIC,Chickasaw National Recreation Area,Chickasaw National Recreation Area (CHIC)
CHIR,Chiricahua National Monument,Chiricahua National Monument (CHIR)
