unit_code,unit_name,unit_name_combined
GLCA,Glen Canyon National Recreation Area,Glen Canyon National Recreation Area (GLCA)
GOGA,Golden Gate National Recreation Area,Golden Gate National Recreation Area (GOGA)
GOSP,Golden Spike National Historical Park,Golden Spike National Historical Park (GOSP)
GOIS,Governors Island National Monument,Governors Island National Monument (GOIS)
GRCA,Grand Canyon National Park,Grand Canyon National Park (GRCA)
GRPO,Grand Portage National Monument,Grand Portage National Monument (GRPO)
GRTE,Grand Teton National Park,Grand Teton National Park (GRTE)
GRKO,Grant-Kohrs Ranch National Historic Site,Grant-Kohrs Ranch National Historic Site (GRKO)
GRBA,Great Basin National Park,Great Basin National Park (GRBA)
GRSM,Great Smoky Mountains National Park,Great Smoky Mountains National Park (GRSM)
GRSA,Great Sand Dunes National Park and Preserve,Great Sand Dunes National Park and Preserve (GRSA)
GREE,Greenbelt Park,Greenbelt Park (GREE)
GUMO,Guadalupe Mountains National Park,Guadalupe Mountains National Park (GUMO)
GUCO,Guilford Courthouse National Military Park,Guilford Courthouse National Military Park (GUCO)
GUIS,Gulf Islands National Seashore,Gulf Islands National Seashore (GUIS)
HAFO,Hagerman Fossil Beds National Monument,Hagerman Fossil Beds National Monument (HAFO)
HALE,Haleakala National Park,Haleakala National Park (HALE)
HAGR,Hamilton Grange National Memorial,Hamilton Grange National Memorial (HAGR)
HAMP,Hampton National Historic Site,Hampton National Historic Site (HAMP)
HAFE,Harpers Ferry National Historical Park,Harpers Ferry National Historical Park (HAFE)
HART,Harriet Tubman National Historical Park,Harriet Tubman National Historical Park (HART)
HATU,Harriet Tubman Underground Railroad National Historical Park,Harriet Tubman Underground Railroad National Historical Park (HATU)
HSTR,Harry S Truman National Historic Site,Harry S Truman National Historic Site (HSTR)
HAVO,Hawai'i Volcanoes National Park,Hawai'i Volcanoes National Park (HAVO)
HEHO,Herbert Hoover National Historic Site,Herbert Hoover National Historic Site (HEHO)
PIMA,Hohokam Pima National Monument,Hohokam Pima National Monument (PIMA)
HOFR,Home of Franklin D. Roosevelt National Historic Site,Home of Franklin D. Roosevelt National Historic Site (HOFR)
HOME,Homestead National Historical Park,Homestead National Historical Park (HOME)
HONO,Honouliuli National Historic Site,Honouliuli National Historic Site (HONO)
HOCU,Hopewell Culture National Historical Park,Hopewell Culture National Historical Park (HOCU)
HOFU,Hopewell Furnace National Historic Site,Hopewell Furnace National Historic Site (HOFU)
HOBE,Horseshoe Bend National Military Park,Horseshoe Bend National Military Park (HOBE)
HOSP,Hot Springs National Park,Hot Springs National Park (HOSP)
HOVE,Hovenweep National Monument,Hovenweep National Monument (HOVE)
HUTR,Hubbell Trading Post National Historic Site,Hubbell Trading Post National Historic Site (HUTR)
IATR,Ice Age National Scenic Trail,Ice Age National Scenic Trail (IATR)
INDE,Independence National Historical Park,Independence National Historical Park (INDE)
INDU,Indiana Dunes National Park,Indiana Dunes National Park (INDU)
ISRO,Isle Royale National Park,Isle Royale National Park (ISRO)
JAGA,James A. Garfield National Historic Site,James A. Garfield National Historic Site (JAGA)
JELA,Jean Lafitte National Historical Park and Preserve,Jean Lafitte National Historical Park and Preserve (JELA)
JECA,Jewel Cave National Monument,Jewel Cave National Monument (JECA)
JICA,Jimmy Carter National Historical Park,Jimmy Carter National Historical Park (JICA)
JODR,"John D. Rockefeller, Jr., Memorial Parkway","John D. Rockefeller, Jr., Memorial Parkway (JODR)"
JODA,John Day Fossil Beds National Monument,John Day Fossil Beds National Monument (JODA)
JOFI,John Fitzgerald Kennedy National Historic Site,John Fitzgerald Kennedy National Historic Site (JOFI)
JOMU,John Muir National Historic Site,John Muir National Historic Site (JOMU)
JOFL,Johnstown Flood National Memorial,Johnstown Flood National Memorial (JOFL)
JOTR,Joshua Tree National Park,Joshua Tree National Park (JOTR)
KALA,Kalaupapa National Historical Park,Kalaupapa National Historical Park (KALA)
KAHO,Kaloko-Honokohau National Historical Park,Kaloko-Honokohau National Historical Park (KAHO)
KAWW,Katahdin Woods and Waters National Monument,Katahdin Woods and Waters National Monument (KAWW)
KATM,Katmai National Park and Presever,Katmai National Park and Presever (KATM)
KEFJ,Kenai Fjords National Park,Kenai Fjords National Park (KEFJ)
KEMO,Kennesaw Mountain National Battlefield Park,Kennesaw Mountain National Battlefield Park (KEMO)
KEWE,Keweenaw National Historical Park,Keweenaw National Historical Park (KEWE)
KICA,Kings Canyon National Park,Kings Canyon National Park (KICA)
KIMO,Kings Mountain National Military Park,Kings Mountain National Military Park (KIMO)
KLGO,Klondike Gold Rush National Historical Park,Klondike Gold Rush National Historical Park (KLGO)
KNRI,Knife River Indian Villages National Historic Site,Knife River Indian Villages National Historic Site (KNRI)
KOVA,Kobuk Valley National Park,Kobuk Valley National Park (KOVA)
KOWA,Korean War Veterans Memorial,Korean War Veterans Memorial (KOWA)
LACH,Lake Chelan National Recreation Area,Lake Chelan National Recreation Area (LACH)
LACL,Lake Clark National Park and Preserve,Lake Clark National Park and Preserve (LACL)
LAKE,Lake Mead National Recreation Area,Lake Mead National Recreation Area (LAKE)
LAMR,Lake Meredith National Recreation Area,Lake Meredith National Recreation Area (LAMR)
LARO,Lake Roosevelt National Recreation Area,Lake Roosevelt National Recreation Area (LARO)
LAVO,Lassen Volcanic National Park,Lassen Volcanic National Park (LAVO)
LABE,Lava Beds National Monument,Lava Beds National Monument (LABE)
LECL,Lewis and Clark National Historic Trail,Lewis and Clark National Historic Trail (LECL)
LEWI,Lewis and Clark National Historical Park,Lewis and Clark National Historical Park (LEWI)
LIBO,Lincoln Boyhood National Memorial,Lincoln Boyhood National Memorial (LIBO)
LIHO,Lincoln Home National Historic Site,Lincoln Home National Historic Site (LIHO)
LINC,Lincoln Memorial,Lincoln Memorial (LINC)
LIBI,Little Bighorn Battlefield National Monument,Little Bighorn Battlefield National Monument (LIBI)
LIRI,Little River Canyon National Preserve,Little River Canyon National Preserve (LIRI)
CHSC,Little Rock Central High School National Historic Site,Little Rock Central High School National Historic Site (CHSC)
LONG,Longfellow House-Washington's Headquarters National Historic Site,Longfellow House-Washington's Headquarters National Historic Site (LONG)
LOWE,Lowell National Historical Park,Lowell National Historical Park (LOWE)
LOSA,Lower Saint Croix National Scenic Riverway,Lower Saint Croix National Scenic Riverway (LOSA)
LYJO,Lyndon B. Johnson National Historical Park,Lyndon B. Johnson National Historical Park (LYJO)
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,Lyndon Baines Johnson Memorial Grove on the Potomac (LYBA)
MAWA,Maggie L. Walker National Historic Site,Maggie L. Walker National Historic Site (MAWA)
MACA,Mammoth Cave National Park,Mammoth Cave National Park (MACA)
MANA,Manassas National Battlefield Park,Manassas National Battlefield Park (MANA)
MAPR,Manhattan Project National Historical Park,Manhattan Project National Historical Park (MAPR)
MANZ,Manzanar National Historic Site,Manzanar National Historic Site (MANZ)
MABI,Marsh-Billings-Rockefeller National Historical Park,Marsh-Billings-Rockefeller National Historical Park (MABI)
